Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
NKM End to End,Chrome 138.0.0.0,,,2025-07-17 14:13:12,2025-07-17 14:15:20,2m - 8.533s,PASSED
,,,,,,,
Test Cases/NKM/SAO_LULUS Pengesyoran/SAO_lulus kes,Chrome 138.0.0.0,,,2025-07-17 14:13:12,2025-07-17 14:14:19,1m - 7.196s,PASSED
"callTestCase(findTestCase(""Test Cases/NKM/IO_Menunggu Pengesyoran/IO_menunggu pengesyoran""), null)",Chrome 138.0.0.0,,,2025-07-17 14:13:12,2025-07-17 14:14:10,57.215s,PASSED
"callTestCase(findTestCase(""Test Cases/Login page_SAO user""), null)",Chrome 138.0.0.0,,,2025-07-17 14:14:10,2025-07-17 14:14:14,3.925s,PASSED
"println(""No. Rujukan Notis: "" + rujukanNotis)",Chrome 138.0.0.0,,,2025-07-17 14:14:14,2025-07-17 14:14:14,0.000s,PASSED
"click(findTestObject(""Object Repository/NKM/IO/workbasket/a_workbasket""))",Chrome 138.0.0.0,,,2025-07-17 14:14:14,2025-07-17 14:14:15,1.883s,PASSED
"table = findWebElement(findTestObject(""Object Repository/NKM/IO/workbasket/tbody_table""), 10)",Chrome 138.0.0.0,,,2025-07-17 14:14:15,2025-07-17 14:14:15,0.041s,PASSED
"rows = table.findElements(By.tagName(""tr""))",Chrome 138.0.0.0,,,2025-07-17 14:14:15,2025-07-17 14:14:16,0.031s,PASSED
targetText = rujukanNotis,Chrome 138.0.0.0,,,2025-07-17 14:14:16,2025-07-17 14:14:16,0.001s,PASSED
isFound = false,Chrome 138.0.0.0,,,2025-07-17 14:14:16,2025-07-17 14:14:16,0.000s,PASSED
for (org.openqa.selenium.WebElement row : rows),Chrome 138.0.0.0,,,2025-07-17 14:14:16,2025-07-17 14:14:16,0.907s,PASSED
if (!(isFound)),Chrome 138.0.0.0,,,2025-07-17 14:14:16,2025-07-17 14:14:16,0.000s,PASSED
"click(findTestObject(""Object Repository/NKM/IO/Tugasan Saya/Notis tuntutan""))",Chrome 138.0.0.0,,,2025-07-17 14:14:16,2025-07-17 14:14:17,0.804s,PASSED
"table2 = findWebElement(findTestObject(""Object Repository/NKM/IO/workbasket/tbody_table""), 10)",Chrome 138.0.0.0,,,2025-07-17 14:14:17,2025-07-17 14:14:17,0.054s,PASSED
"rows1 = table2.findElements(By.tagName(""tr""))",Chrome 138.0.0.0,,,2025-07-17 14:14:17,2025-07-17 14:14:17,0.031s,PASSED
targetTexts = rujukanNotis,Chrome 138.0.0.0,,,2025-07-17 14:14:17,2025-07-17 14:14:17,0.000s,PASSED
isFounds = false,Chrome 138.0.0.0,,,2025-07-17 14:14:17,2025-07-17 14:14:17,0.000s,PASSED
for (org.openqa.selenium.WebElement row1 : rows1),Chrome 138.0.0.0,,,2025-07-17 14:14:17,2025-07-17 14:14:18,1.028s,PASSED
